業界,概要文
金属部品製造業界の会社,日機装株式会社の関連企業として主に航空機部品などの製造を請け負う。航空機の着陸時に用いる逆噴射装置「カスケード」を製造する。また、エンジンナセル部品アフトフェアリングやブロッカードアなどの製造も手掛ける。その他、エンジン部品ファンケースライナーや人工衛星用部品チューブやパネルを製造を行う。
人材紹介業界の会社,レストランやホテルおよびブライダル分野を中心としてた人材紹介および派遣を行う会社。調理人やバーテンダーのほか、接客・配膳要員などアルバイト要員にも対応。また調理場や洗浄部門等の営業業務の代行運営も手掛ける。その他、Webで求人サイトの運営を行う。
タクシー業界の会社,一般乗用旅客自動車運送業を行う会社である。
高齢者向け福祉業界の会社,株式会社喜林とともに喜林グループを形成し介護養護施設などの運営をしている。デイサービスや小規模多機能ホームの運営の他に訪問介護や児童向け、障害者向けの施設の運営も手掛けていることが特徴。さらに介護相談や職員研修等も行う。
金属部品製造業界の会社,工作機械や建設機械及び農業機械等の部品加工と組立及び塗装までの一貫製造を行う。また、製造部品としてピンやシャフト及び車輪等の切削加工や溶接を扱い、鋳造部品の精密加工や表面処理及び研磨等も手がける。さらに、フォークリフト部品及び製品の製造も取扱う。
Webサービス・アプリ運営業界の会社,音楽イベントやプロスポーツ、美術館などの電子チケットに伴うシステムの開発および運営を手掛ける。電子チケット「メモコレ」や、転売防止を目的とした公式チケットトレードサービス「EMTG TRADE」の運営も行う。
タクシー業界の会社,東都自動車グループ・タクシー部門の一つで、東京都だけでなく神奈川県港北にも営業所がある。また港北営業所では東急東横線日吉駅付近を中心に、無線配車を営業所独自で行っている。その他、観光タクシーの運行も行う。
警備業界の会社,イベント開催時や店舗オープン時の雑踏警備や、ビル・学校などの施設警備、道路工事や建築現場における交通誘導警備などを行っている。また規制車や規制材などを使用した交通規制も行っており、一般道だけでなく高速道路に対しても対応する。
金属部品製造業界の会社,工作機械部品や楽器部品およびオーディオ部品などの製造を行う。また、PFダイカストによるキャップヘッドやグリップハンドルの製造も手掛ける。
高齢者向け福祉業界の会社,「花咲グループ」の介護付有料老人ホームと住宅型有料老人ホームを運営する。常時連携のとれる主治医が在籍しており、夜間の救急搬送にも対応可能。介護付では要介護および要支援の認定を受けた人を対象としている。
マンション・アパート賃貸業界の会社,マンションやアパートおよび戸建などの賃貸や売買等を行うほか、土地や投資用物件なども売買を行う。また、賃貸物件の管理や空室物件の対策なども手掛ける。その他に、不動産の査定にも携わる。
タクシー業界の会社,旭交通グループの1社として鹿児島県川内市を拠点に、タクシーの運営を行う。普通車や特定大型車の他に、車椅子専用車や寝台車などの福祉車に対応し運用を手掛ける。
ホテル・旅館業界の会社,榊原温泉を源泉とする扇野温泉の宿「扇芳閣」の運営を手掛ける。伊勢志摩の魚介類を使用した会席料理を提供するほか、庭園の露天風呂や屋外プールなどを備える。
タクシー業界の会社,千葉県の松戸市・柏市や我孫子市及び野田市・流山市で営業するタクシー会社である。また、弊社の乗務員が買物代行や自宅の施錠確認等に対応する「便利屋タクシーサービス」を行う。
警備業界の会社,別荘地における防犯や防災のためのパトロール車両による巡回や、常駐の警備員によるモニター監視などを請け負う。また、定期清掃や設備の点検なども手掛ける。その他、空き家の受託管理や別荘のリフォームおよび水質管理や配管の修繕工事を行っている。
自動車部品・カー用品製造業界の会社,ダイハツ工業株式会社向けのバックドアやフェンダーおよびフューエルリッドなどの自動車部品および樹脂外板部品の製造を手掛ける。
自動車部品・カー用品製造業界の会社,米国のカーシートメーカーAdientの日本法人であり、自動車用シートのサプラヤーとして事業を展開している。
マンション・アパート賃貸業界の会社,主にマンションやアパート、戸建て住宅など賃貸不動産物件の仲介を行っている。また、賃貸物件を所有するオーナー向けに不動産管理を行い、入居者募集などを手掛ける。その他、不動産の売却、投資用不動産の購入サポートを行う。
自動車部品・カー用品製造業界の会社,自動車電照灯プラスチック製品などの製造を行う射出成形メーカーである。フォグランプやヘッドランプ等の自動車に搭載されるランプのボディを製造。また、レンズ及びリフレクターやシェード等の射出成型製品の製造も行う。その他、大同特殊鋼株式会社より委託を受け、集光型太陽光発電用レンズの開発を手掛ける。
金属部品製造業界の会社,医療機器や自動車などの精密機器に用いられる工業用刃物を専門に製造し、主に「ファイリ―刃」などのオーダーメイドを行う。直刃や丸刃の製造にも対応している他、「抜き型ファイリ―」などの鉄砲丸刃なども取り扱う。その他、プレス機メーカー会社と共に切断装置などの製造にも取り組む。
ホテル・旅館業界の会社,「ホテルニュープラザ久留米」を運営する。シングル、カップル向け、ビジネス向け宿泊プランを提案するほか、ウエディングや宴会なども請け負う。また、ホテル内にあるレストランで食事をとることも可能で、ホテルオリジナルの商品を販売している。
ホテル・旅館業界の会社,「ホテル竹園芦屋」や但馬牛専門店「レストランあしや竹園」などの運営を行っている。その他、精肉販売業では「あしや竹園 本店」のほかに百貨店にも店舗を構え、但馬牛を提供する。また、不動産賃貸業も手掛けており、ホテル内テナントに加えて芦屋地区の金融機関の店舗など保有する。
居住用リフォーム業界の会社,外壁・屋根の塗装や防水工事、水廻り工事などを行うリフォーム会社。医療・福祉施設分野に特化した省エネ改修事業を行っており、そのリニューアル技術を活かしホームユース向けに低コスト・環境配慮型のリフォーム事業を行っている。
自動車部品・カー用品製造業界の会社,愛知県に事務所を構え、自動車部品の製造などを行っている。
高齢者向け福祉業界の会社,食事や排泄等の介助を行う訪問介護サービスや、家庭の状況に応じたサービス計画を建てる居宅介護支援サービスを提供する。また、デイサービスや、デイサービスとショートステイ等を組み合わせた複合サービスである小規模多機能型居宅介護も提供する。その他、有料老人ホーム「いよ路ほーむ」の運営等も手掛ける。
自動車部品・カー用品製造業界の会社,タイヤなどの販売や車両の修理を行う会社である。また、カーサービスの一環として、ボディ磨きやエンジンや車内のクリーニングを提供する。ならびに、光触媒チタンコートや撥水ガラスコートなどの施工にも携わる。その他、自動車に関連する商品の開発なども行う。
ホテル・旅館業界の会社,北海道函館市を拠点に、全国にビジネスホテルやリゾートホテルを22店舗、展開している。公式サイトからの予約をベストレート保証しているのが特徴。宴会場も備えている。また、英語・中国語や韓国語およびベトナム語に対応しているのが強み。
タクシー業界の会社,第一交通産業グループに属するタクシー会社である。ハイブリット車を含めた営業車両を保有する。
タクシー業界の会社,東都自動車グループのタクシー部門である会社。東京都内に複数の営業所を構え、うち足立区の営業所は構内にLPGスタンドを有している。また、禁煙タクシー車やハイグレード車を導入していることが特徴である。
ホテル・旅館業界の会社,天然温泉と露天風呂を備えた宿泊施設「紋別プリンスホテル」の運営を行う。また、カニ料理を提供するレストラン「かに屋」を併設。客室はツインルームや和室、ダブルルームなどシーンに合わせて利用可能。宴会や法要にも対応する。
タクシー業界の会社,東京都足立区を拠点にタクシー業を行う。
美容サロン業界の会社,カットや縮毛矯正、パーマやカラーなどを行う美容院「VOICE」の運営を手掛ける。
高齢者向け福祉業界の会社,介護保険を適応させる為に必要なケアプランを制作する会社で、主に在宅介護の支援を行っている。単独型の居宅介護支援事業所であることを強みとしている。藤沢市や横浜市、川崎市などの地域に対応。
居住用リフォーム業界の会社,住宅の新築工事や、水回りやエクステリアなどのリフォーム工事を行う。また、サッシや網戸の製造および施工も手掛ける。さらに、郵便局や賃貸住宅などの新築工事や学校の改修工事などの建築にも対応。その他、スロープや点検ハッチの設置などの法人向けの工事や、太陽光発電設置工事にも対応。
美容サロン業界の会社,岩手県内で複数の理容室や美容院の運営を行う。子供から大人まで幅広い年齢層を対象にカットやカラー、パーマなどのサービスを提供。また、女性向けのレディースシェーブサービスやヘッドスパサービス提供にも携わる。
高齢者向け福祉業界の会社,住宅型有料老人ホーム及びデイサービスセンターの運営を手掛ける。主に利用者の健康管理や生活の介助、およびレク開催や機能訓練指導等を担っている。また、多数のリハビリ器具を備えるほか、車イスやベッドなどの介護用品の無料レンタルも行う。その他、認知症や透析患者、および生活保護受給者などによる施設利用にも対応。
Webサービス・アプリ運営業界の会社,エンタメ系や教育系、音楽系のスマートフォンアプリの開発、スタンプコンテンツ配信事業などを手掛けている。また、各種キャリアに対応した待ち受けや壁紙も提供する。さらに、Webサイトに関するデータ分析や企画、デザインおよび構築や運用に加えて、アプリの開発なども請け負う。その他、広告代理業を展開し、メディア広告も取り扱う。
タクシー業界の会社,鹿児島県鹿児島市にてタクシー運行を手掛けている。また、観光タクシーの運行も行い、アルファードなどの大型車両を用いるのが特徴。その他に、配車アプリ「全国タクシー」によるタクシー配車サービスも請け負う。
警備業界の会社,大阪府堺市を拠点に、列車見張や交通誘導および雑踏警備などを手掛けている。また、駐車場出入警備やイベント雑踏警備、常駐警備にも対応。その他にも、重機誘導や踏切監視などにも携わる。
Webサービス・アプリ運営業界の会社,インターネットサービスを活用し、実店舗へと誘導させる集客や販売支援の手法として「GMOおみせアプリ」などのサービスを提供する。またWebサイトの制作サービスや保守や管理の代行サービス、SEO対策なども手掛ける。ビジネスフォンや複合機、ネットワークセキュリティ等の提供や施工にも携わる。
ホテル・旅館業界の会社,福岡県朝倉市を拠点に、温泉旅館の運営を手掛ける。アルカリ単純源泉と硫黄泉の2種類の泉質が含まれる温泉を持つことが特徴。
ホテル・旅館業界の会社,「ホテルキャッスルプラザ」「明石キャッスルホテル」「ホテル・ロッジ舞洲」のホテル経営を行なっている。併設されている結婚式会場やレストラン経営も手掛ける。ホテル経営で培ったノウハウを活かし、企業内の社員食堂の運営など幅広い分野の事業に取り組む。
タクシー業界の会社,主にタクシーの配車および運行を行っている。介護タクシーとして、車椅子ごとタクシーに乗車可能な福祉車両を所有する点が特徴。また、観光地を巡るツアーも企画しており、観光タクシーの運行も手掛ける。
自動車部品・カー用品製造業界の会社,自動車関連の工業用ファスナーや工業用プラスチック製品の製造および販売を手掛けている。また、フューエルフィルターやオイルフィルター、エバポチューブなど燃料系部品の製造にも対応する。他に、形状記憶合金ばねなど住設部品の製造も行う。
ゴルフ場業界の会社,ゴルフ場「和木ゴルフ倶楽部」の運営を手掛ける他、同敷地内でレッスン場の「蜂ヶ峯ゴルフガーデン」の運営も行う。300ヤードの練習場やバンカー練習場などが併設されている。また、その他ゴルフスクール「ブリヂストンゴルフアカデミー」を開講する。
自動車部品・カー用品製造業界の会社,自動車のLEDヘッドランプやディスチャージヘッドランプの製造および卸売を行っている。その他、リアコンビネーションランプやハロゲンヘッドランプを取り扱う。
水産物食品専門商社業界の会社,静岡県焼津港を拠点に水産物の卸売りや、冷凍保管および製造加工を手掛ける。クロマグロをはじめとしてメバチ、キハダなどの魚を取り扱う。その他倉庫業や貨物自動車運送事業に対応する。
食品店業界の会社,食品店「生田フード」やオーガニック食材、および無添加商品などを取り扱う食品店「ナゴヤ キッチュ エ ビオ」の運営を手掛けている。
Webサービス・アプリ運営業界の会社,世界中の映画情報を提供する総合映画情報サイト「映画.com」の運営を行う。映画ニュースを配信するほか、作品データベースや人物情報、或いは全国の映画館の上映スケジュールなどの情報提供を手掛ける。また、興行ランキングや評論家のコラムなどの映画に関する話題も提供している。
高齢者向け福祉業界の会社,訪問介護や居宅介護支援を手掛ける介護支援施設「ひのきヘルパーセンター」を運営を行っている。要介護者の日常生活の介助から生活支援までのサポートを請け負う。
居住用リフォーム業界の会社,建物の外壁調査や、補修工事・建物解体に伴う仮設足場取付業務を主に手掛ける会社。また、重機を使う根切りなどの土木工事や、電気設備・空調設備取付・配線などの電気工事も行う。その他建設に関わる雑工事も取り扱っている。
居住用リフォーム業界の会社,光触媒塗料による外壁塗装工事や太陽光発電システムの販売および施工を手掛ける。また、一般住宅やマンションの防水工事や屋根工事などのリフォーム施工から、ガレージの増設工事まで対応する。その他、中古戸建の販売なども担う。
タクシー業界の会社,千葉県にてタクシー事業を手掛ける。なお、全車両にカーナビ及びドライブレコーダー等の防犯装備、カード決済機をを有している。その他、法人向けにmyタクシーチケットの利用も可能。myタクシーグループの企業の一つである。
警備業界の会社,市役所を始めとする公共施設や老人ホーム、および場外舟券売り場などでの施設警備を請け負う。また、祭典や音楽祭、およびアイアンマンレースなどのイベント警備を実施。その他、建築工事や土木工事、および道路工事などでの交通誘導警備に携わる。
ホテル・旅館業界の会社,山形県上山市で全室離れ風のリゾートホテルの運営を行う。露天風呂付和風の客室やワインセラー、ヨガルームや山形の工芸品などを展示するギャラリーなどの施設も備える。山形空港で県の食材を使った料理等を提供する「名月荘エアーポートキッチン」の運営も手掛けている。
水産物食品専門商社業界の会社,鰹や鰹節などの製造や卸売、および宣伝に関する事業を手掛けている。また、鰹や鰹節、南薩摩の土産物などの販売も行う。
ホテル・旅館業界の会社,麻生グループに属し、「のがみプレジデントホテル」の運営を手掛ける。館内にて、中国料理店や和食処などのレストランの運営も行う。その他、婚礼に関する衣装の貸出を行う店舗「衣裳扇華」の運営も担う。
医療機器・実験機器メーカー業界の会社,診察台や内診室機器などの産婦人科用機器のほか、保育器などの新生児機器や小児用機器の製造、販売を手掛ける。また、輸液用機器や呼吸療法用機器などの製造も行う。主な製品として「メグジョイEX」「デュアルインキュi」等が挙げられる。医用ディスポーザブル製品も取り扱うほか、各製品の保守メンテナンスにも対応する。
警備業界の会社,首都高速道路の交通事故や交通障害について、24時間体制で管制業務や巡回業務をしている会社。関係機関との連携の上、違反車両の取り締まりも行う。首都高が安全で円滑な走行ができるよう、レッカー車などの特殊車両やバイク隊での巡回などを手掛ける。
ホテル・旅館業界の会社,ホテル「プレジデントホテル博多」の運営を手掛ける。女性優先フロアを設けている点を特徴とし、朝食付きプランなど各種宿泊プランを提供。また、ホテル内には和食を提供する和創作呑処「緩音」が併設されている。
金属部品製造業界の会社,金属製品の製造を行なっており、主に六角ボルトやワッシャー付ボルト等の締結用の部品の製造をを行なっている。商品の製造は主に圧造加工・プレス加工・切削加工等の加工法を用いているのが特徴。また、特殊六角ボルトや特殊シャフトなどの受注製造にも対応している。
警備業界の会社,滋賀を中心に、関西でイベント警備や施設警備、道路工事や建築現場等の交通誘導警備等の各種警備業務を行っている。びわ湖大花火大会やイナズマロックフェス、鳥人間コンテストなどで警備を行った実績がある。施設警備については、出入管理や巡回以外に施設管理に関する付帯業務にも対応。
居酒屋・バー業界の会社,愛知及び関東地域に刺身やもつ鍋、手羽先などの名古屋名物を提供する居酒屋「いけす鶴八」および「みつえもん」を展開している。店内に巨大ないけすを持つことを特徴とし、注文を受けてから刺身を捌く。
警備業界の会社,施設・店舗の巡回警備やイベント会場での警備、および土木現場などにおける交通誘導警備を行っている。また、政財界人やタレントといった個人の身辺警護も手掛ける。その他、警備計画や効率化プランの提案にも対応。
高齢者向け福祉業界の会社,高齢者住宅「ケアビレッジ日立」「ケアビレッジ池の川」「あじさい苑」などを運営している。また、デイサービスや訪問介護、居宅介護支援なども手掛ける。
自動車部品・カー用品製造業界の会社,栃木県足利市にて、ハンドブレーキの握り部分など自動車の内装付属部品の組立てや縫製を行う。
ホテル・旅館業界の会社,複合施設「仙台サンプラザ」の運営を行っている。施設内に仙台サンプラザホテルを運営するほか、各階に多目的ホールを併設しており、宴会や会議、展示会などの用途として貸出しを行う。その他、レストラン「サンパステル」などを併設している。
高齢者向け福祉業界の会社,グループホーム「グループホーム ハイブリッジ」「グループホーム カトレア」「グループホーム メジロ苑」の運営を行う。認知症患者に対応するほか、介護計画の作成も請け負う点が特徴。
自動車部品・カー用品製造業界の会社,矢崎グループの子会社であり、自動車に必要な電線や情報回路を束ねたワイヤーハーネスの設計と製造を手掛ける。主な納品先として国内および海外の自動車メーカーなどが挙げられる。自動電線切断端子圧着機や自動端子挿入機および組立コンベアを用いた一貫ラインで生産を行う。
高齢者向け福祉業界の会社,デイサービスセンター及びグループホーム、さらに居宅介護支援事業所としての機能を持つ「あすなろホーム」の運営を行っている会社である。また、特別養護老人ホーム「あすなろの郷」も運営する。
高齢者向け福祉業界の会社,函館市において、訪問介護やデイサービスを手掛ける。また、障害者・高齢者向け住宅の企画および運営も行う。
中古車販売業界の会社,「軽自動車専門店 くるま市」の運営を行っており、新車や中古車の販売および買取りを手掛ける。また、車検や修理および板金など整備メンテナンスを実施する。その他、カーリース業や保険代理業も展開する。
ホテル・旅館業界の会社,神奈川県逗子と三浦半島南端にリゾート施設を展開しており、ハーバー運営やレストラン経営および結婚式運営などのマリーナ事業を行う。リゾートマンションを中心とした不動産の売買や賃貸の仲介およびハウスクリーニングやリフォーム業務も手がける。そのほか、ヨットやボートの販売も手掛ける。
人材紹介業界の会社,新潟県を中心に、新卒採用および中途採用支援を行っている。就職サイト「にいがた就職応援団ナビ」の運営の他、就職イベントを定期的に開催する。適正検査や教育ツールも扱う。その他、企業に対し人材育成のための教育研修や、組織活性化の支援を手掛ける。さらに、Webサイト制作などの広報支援および活動支援も行う。
ホテル・旅館業界の会社,シティホテル「レンブラントホテル大分」の運営を行う。また、施設内の宴会場やブッフェダイニング＆カフェ「フォーリーフガーデン」等の運営も手掛ける。
自動車部品・カー用品製造業界の会社,買取りした廃車を解体し、再利用できる部品の再生や販売を行うほか、自社の板金塗装工場で修復した中古車の販売を手掛ける。また、「エコアールDS館」を併設し、新品や中古のカー用品及び再生カー用品の販売を行うほか、各種ピットサービスなども提供している。その他、Webサイトでのカー用品の販売も行う。
居住用リフォーム業界の会社,外壁や屋根などの塗装工事を手がける。外壁塗装では、足場架設、高圧洗浄や下地処理及び養生を行う。また、屋根塗装、土木工事や管工事などにも対応する。
美容サロン業界の会社,茨城県北茨城市を中心に「ヘアーサロンSUN」を運営している。また、ショッピングモールに「ヘアーデザインSUN」も展開している。
水産物食品専門商社業界の会社,主に広島市中央卸売市場にて、鮮魚や貝類などの水産物の卸売を手掛ける。全国で水揚げされる鯵や鯖などの天然魚ならびに養殖魚を取り扱う。さらに、冷凍食品やイカや貝類などの加工食品および輸入魚などの卸売も展開する。
タクシー業界の会社,一般タクシーを始め観光タクシー、及び介護タクシーの運行を行っている。
美容サロン業界の会社,都内を中心に展開している美容室「ZA/ZA」の店舗運営及びスタッフの育成を行っている。通常のヘアカットだけでなく、ネイル施術にも対応。また、エステサロンではブライダルエステも手掛けている。さらに、雑誌等でのヘアメイクや国内外のヘアショーも行う。
ホテル・旅館業界の会社,ANAグループの傘下である「ANAクラウンプラザホテル岡山」を経営している。宿泊、レストランの他に、各種宴会やウェディングも行っている。宿泊には、ビジネスプランやANA会員プラン、観光グルメプランなどがある。
高齢者向け福祉業界の会社,熊本県菊池市にある住宅型有料老人ホーム「ノアズアーク」を運営している。デイサービスセンターNoahとヘルパーステーションNoahを併設し、通所介護と訪問介護サービスを提供。また、同敷地内に「乗馬クラブ」や「癒しのカフェNoah」も併設されている。
マンション・アパート賃貸業界の会社,不動産の賃貸事業を手がけている。物件は、アパートやマンション等の集合住宅を中心としており、学生の下宿向け物件やウィークリーマンションなども取り扱っていることが特徴。また、グループホーム運営や訪問介護などの介護事業や、ビジネスホテル事業などを行う。
高齢者向け福祉業界の会社,デイサービスセンターや介護付有料老人ホーム「元気の郷」の運営を行う。また、居宅介護支援や訪問介護なども手掛ける。その他、受診介助や病院への送迎、買い物及び散歩への動向などのサービスも提供。さらに、ドライブへの同行や公共料金の支払い代行などにも対応。
金属部品製造業界の会社,測定治具やパレットおよびアームなど精密機器器具や治具の製造を手掛けている。主に、鋼材やステンレスならびに樹脂、チタンなどの材質を取り扱う。その他にも、旋盤加工やマシニング加工に対応するほか、研究材料試験品の製造に対応。
金属部品製造業界の会社,溶解や精錬から機械加工までを一貫して行い、発電機用のモーターやバルブの他、船舶用のエンジンなどの製造を手がける。また、油田採掘など腐食性の物質に適応した｢スーパー二相系ステンレス鋼｣を独自に開発した技術によって製造している。
警備業界の会社,交通警備やイベントでの雑踏警備、商業施設およびオフィスビルなどの施設で常駐警備を行う。さらに、私服スタッフによる保安警備や、要人向けの身辺警備などを手掛ける。その他、ベトナム人技術者紹介事業やベトナム進出支援にも携わる。
高齢者向け福祉業界の会社,「ウィル訪問看護ステーション」を運営し、カテーテル管理や輸液交換など医療的管理を含めた訪問介護を提供する。また、がんおよびその他の終末期や認知症、高齢者世帯、小児難病すべてに対応する。その他、「OMAHA SYSTEM」を用いたケアの見える化を行う。
人材紹介業界の会社,広島県広島市内を中心に、人材派遣サービスや人材紹介サービスを主に行う。部品および食品製造の補助作業や一般および営業事務の他、送迎ドライバー等を派遣する。業務内容のネット見学が可能であるのが特徴。
高齢者向け福祉業界の会社,小規模多機能型居宅介護事業所「よつば」を運営している。訪問サービスや宿泊サービスなどの介護サービスを提供。加えて、介護全般の相談やケアプラン作成などを行うケアマネジメントサービスを手掛ける。また、デイサービス「りんどう」老人ホーム「もみじ」グループホーム「まつかさ園」の運営を担う。
Webサービス・アプリ運営業界の会社,FXや株式投資を体験型で学習できるアプリの運営を行っている。マネープランシミュレーションアプリ「トウシカ」や株取引を体感するアプリ「株たす」などを運営。また、広告配信やアプリ開発などのマーケティング支援なども手掛ける。
ゴルフ場業界の会社,茨城県牛久市にて、ゴルフ場「金乃台カントリークラブ」を運営する。
マンション・アパート賃貸業界の会社,デザイナー物件と呼ばれる物件の賃貸や売買を行う会社。アパートやマンション、戸建ておよび事務所の賃貸や、土地、中古戸建のほか中古マンションの売買などを取り扱う。一級建築士の建築家に、賃貸集合住宅から個人住宅、オフィスなどの企画・工事管理まで、総合的に相談することも可能。
食品店業界の会社,大福などの和菓子やロールケーキなどの洋菓子を販売する「霧島菓子処 森三」を運営する。各商品の通信販売も手掛ける。
高齢者向け福祉業界の会社,「住宅型有料老人ホームメープルコートまつばら」、「住宅型有料老人ホームメープルコートあまみ」の運営を手掛ける。また、入居施設での介護や、訪問介護および訪問看護も行う。その他、福祉用具レンタルにも対応。
人材紹介業界の会社,企業の経営戦略・人事戦略に沿った提案・人材紹介を行う会社であり、ヘッドハンティングやエグゼクティブリサーチを行っている。ヘッドハンティングの過去3年の成功率は93％、定着率は97％と高い業績を残していることが強みである。定年退職したシニアの人材活用にも力を入れている。
高齢者向け福祉業界の会社,老人福祉や介護事業を行い、訪問介護や居宅介護支援、通所支援および訪問看護などを手掛ける。また、「デイサービス スマイルケア」で理学療法士やマッサージ師によるリハビリテーションやエアロバイクおよびセラバンドなども行う。
高齢者向け福祉業界の会社,株式会社アシックスの子会社として、兵庫県神戸市を拠点に機能訓練特化型デイサービス施設「Tryus」の運営を手掛け、リハビリや運動プログラムの提供に携わる。機能訓練指導員や看護師が常駐しサポートにあたる点が特徴。
タクシー業界の会社,相模交通株式会社との共同配車センターを運営し、藤沢市、大和市、綾瀬市に配車可能なタクシーを2018年現在32台保有。その内、2台は通常のタクシーと同じ料金で利用可能なユニバーサルデザインタクシーである。また、子育て支援や陣痛や通院などの際の送迎にも対応している。
自動車部品・カー用品製造業界の会社,KYB株式会社の子会社に位置し、主に自動車部品の油圧ベーンポンプの加工・製造を行う。パワーステアリング及び無段変速機の作動油を加圧するベーンポンプを主力製品としている。その他、スタブシャフトなどEPS用部品加工を手掛ける。
高齢者向け福祉業界の会社,介護職員や生活相談員などによる健康チェックやレクレーションなどのデイサービス支援を行う。また、グループホームも運営しており、高齢者の介護支援も実施している。他にも、配食サービスや、リハビリテーションや介護タクシーの営業なども手掛けている。
警備業界の会社,主に機械警備や施設警備を行っている。また、作業現場道路及び駐車場等で交通誘導警備も行う。その他、夜間の公園を巡回する防犯パトロールの役割も担っており、個人向けにはホームセキュリティサービスも実施している。
金属部品製造業界の会社,車載機器やモバイル機器および産業機械などの、プレス加工による金属部品の製造を行う。また、スポット加工やタップ加工およびカシメ加工などの金属加工も手掛ける。さらに、金型の製作にも対応する点が特徴。
ゴルフ場業界の会社,埼玉県さいたま市にて、「大宮国際カントリークラブ」の運営を手掛ける。また、ゴルフ用品の販売およびレストランの運営を行う。
水産物食品専門商社業界の会社,魚介類の仕入れを行い、量販店や百貨店などに卸売を手掛ける。また、大阪産しらすや国産真サバ、養殖マダイの加工にも対応する。その他、養殖トラフグやノルウェーサーモンなども取り扱う。自社ECサイトやYahoo!ショッピングでの一般消費者向けの販売にも対応する。
医療機器・実験機器メーカー業界の会社,採血用の針や溶解液注入針などの注射針をはじめ、フィルター付き輸液セットやガイドワイヤ等の製造を行う。さらに脊椎液の採取などに用いるスパイナル針や人工授精用カテーテルのニプロAIHキャスの製造にも対応する。
警備業界の会社,防災監視盤などから24時間遠隔監視を行う機械警備や、常駐警備などの警備業を展開している。また、道路工事現場などでの交通誘導や、万引き対策などの保安警備にも取り組む。その他、不法入場者の確認などを行う巡回警備や、駐車場管理などを担っている。
高齢者向け福祉業界の会社,老人介護施設「けあらいふ」やデイサービスセンター「せっしょん」の運営および福祉用具のレンタルや販売を行っている。また、旅行の手配「厚友会トラベル」及び市役所や病院などで売店を運営。その他にレストラン「ななかまど」「はなさき」「シンフォニー」などの運営を行う。
金属部品製造業界の会社,ロボットおよびOA機器や電子機器、医療機器や工作機械、制御盤などの精密板金部品の製造を行う。また、板金試作部品の製作やプレス加工も手掛ける。その他にも、アルミやステンレスの特殊溶接加工やレーザー切断およびレーザー溶接にも対応する。
高齢者向け福祉業界の会社,デイサービス｢おもてなしハイジ｣などの運営を行う。また、居宅介護支援や訪問介護も担っている。その他、移動用リフトや車いすなど福祉用具のレンタルや販売を手掛ける。
高齢者向け福祉業界の会社,高齢者総合福祉施設「ひいらぎの里」の運営を手掛けており、認知性対応型グループホームや入浴や食事、レクリエーションならびに機能回復訓練を行う。また、居宅介護支援事業や、訪問介護事業ならびに、通所介護事業なども請け負う。
タクシー業界の会社,タクシーやバス事業を行う飛鳥交通グループのグループ会社として、埼玉県越谷市にて「越谷営業所」の運営を手掛ける。
